trial,n,dc_variation,naive_variation,dc_comparisons,naive_comparisons,theoretical_dc,match
1,100,78.98795152931459,78.98795152931459,148,198,148,1
2,100,76.82885529934651,76.82885529934651,148,198,148,1
3,100,78.87021846691161,78.87021846691161,148,198,148,1
4,100,76.50512473464995,76.50512473464995,148,198,148,1
5,100,79.3977500576211,79.3977500576211,148,198,148,1
6,100,79.3618146629054,79.3618146629054,148,198,148,1
7,100,78.2120472599522,78.2120472599522,148,198,148,1
8,100,79.11681301803971,79.11681301803971,148,198,148,1
9,100,77.14006644100698,77.14006644100698,148,198,148,1
10,100,77.5066741557111,77.5066741557111,148,198,148,1
11,100,79.27524384087928,79.27524384087928,148,198,148,1
12,100,79.35993746566987,79.35993746566987,148,198,148,1
13,100,79.20648601588243,79.20648601588243,148,198,148,1
14,100,75.07808587517935,75.07808587517935,148,198,148,1
15,100,79.45083335518927,79.45083335518927,148,198,148,1
16,100,78.12406507221027,78.12406507221027,148,198,148,1
17,100,77.85335929843852,77.85335929843852,148,198,148,1
18,100,78.18562574517362,78.18562574517362,148,198,148,1
19,100,77.29123668786214,77.29123668786214,148,198,148,1
20,100,79.03009612009585,79.03009612009585,148,198,148,1
21,100,77.54964759877345,77.54964759877345,148,198,148,1
22,100,78.43790061258179,78.43790061258179,148,198,148,1
23,100,79.75036424267637,79.75036424267637,148,198,148,1
24,100,78.77546066036881,78.77546066036881,148,198,148,1
25,100,79.58358316132552,79.58358316132552,148,198,148,1
26,100,79.28469464281164,79.28469464281164,148,198,148,1
27,100,79.61104760053662,79.61104760053662,148,198,148,1
28,100,78.71319466254056,78.71319466254056,148,198,148,1
29,100,78.47414604805361,78.47414604805361,148,198,148,1
30,100,78.47245357238829,78.47245357238829,148,198,148,1
